Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,No,"LCP 3863ms, CLS 0.050, INP 9999ms",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,Yes,TBT 44ms,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,Time to First Byte (TTFB) < 800ms measured in Browser Audit Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,No,TTFB 10976ms,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Browser Audit Lighthouse panel; no critical findings blocking either category,High,Yes,No,"SEO 54, Best Practices 100",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Browser Audit Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,No,"Transferred 4661KB, 134 resources",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Text resources (HTML/CSS/JS) served with gzip or Brotli compression; verify via Content-Encoding response header in Browser Audit Network panel Headers tab for each critical resource,High,Yes,No,Content-Encoding: none,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,All images within size budget; no uncompressed PNG served where WebP/AVIF is available; image display dimensions match intrinsic dimensions (no oversized images scaled via CSS); verify in Browser Audit Network panel and Lighthouse image audit,High,Yes,Yes,"Optimized 100, responsive 100",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Caching / CDN Validation,Performance - Asset & Delivery,Network,Browser Audit,Resources served over HTTP/2 or HTTP/3 protocol; verify via Protocol column in Browser Audit Network panel (right-click column headers to enable Protocol column),Medium,No,No,Protocol column requires DevTools Network panel; not captured in automated run,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Lighthouse / PSI Validation,Performance - Asset & Delivery,Coverage,Browser Audit,JavaScript and CSS coverage on critical pages shows < 50% unused bytes on initial load; verify via Browser Audit Coverage panel (Ctrl+Shift+P > Show Coverage); flag unused bytes for lazy loading or removal,Medium,No,No,Coverage panel requires manual DevTools; not automatable headless,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Browser Audit Network panel Response Headers for the main document request,Critical,Yes,No,No CSP header,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,X-Content-Type-Options: nosniff present on all responses; X-Frame-Options or CSP frame-ancestors set to prevent clickjacking; Referrer-Policy header configured to restrict referrer leakage; verify all security headers in Browser Audit Network panel,High,Yes,No,"nosniff -, XFO -, Referrer-Policy -",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,Zero JavaScript errors or unhandled promise rejections in Browser Audit Console panel on page load and during core user interactions; no CORS policy errors; console filter set to Errors level during production audit,Critical,Yes,No,"2 page errors, 0 console errors",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,No deprecated browser API usage warnings or browser compatibility warnings visible in Browser Audit Console panel on production URL; Verbose level checked for hidden debug output,Medium,No,Yes,0 console warnings,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Network,Mixed Content,Browser Audit,No mixed content warnings in Browser Audit Security panel; all sub-resources (scripts/styles/images/fonts/iframes) loaded over HTTPS; Security panel reports 'This page is secure (valid HTTPS)',Critical,Yes,Yes,All HTTPS,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Network,Certificate,Browser Audit,TLS certificate valid and not expired; certificate chain complete and trusted by browser; verify in Browser Audit Security panel Certificate section; no certificate warnings on page load,Critical,Yes,Yes,Loaded over HTTPS without certificate errors,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,No sensitive data (auth tokens; PII; credentials; session secrets) visible in Browser Audit Application panel under Local Storage; Session Storage; IndexedDB; or Cookies; HttpOnly and Secure flags set on authentication cookies,Critical,Yes,Yes,Storage keys 3; sensitive 0,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,Cookies used for session management have SameSite attribute set to Strict or Lax; Secure flag enforced on all auth cookies; no unencrypted sensitive values in cookie payloads; verify in Browser Audit Application > Storage > Cookies,High,Yes,Yes,4 cookies; 0 auth cookie issues,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Browser Audit,Page layout tested at standard breakpoints using Browser Audit Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,Yes,No horizontal overflow at tested breakpoints,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,CLS (Cumulative Layout Shift) < 0.1 verified in Browser Audit Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,Yes,CLS 0.050,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,No render-blocking resources identified in Browser Audit Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,No,Render-blocking 0,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Browser Audit,No console.log or developer debug output active on production build; Browser Audit Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,Yes,0 log/info/debug messages,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No 'Violation' messages (handler took Xms; forced reflow while executing) in Browser Audit Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes,High,Yes,Yes,0 violation messages,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No forced synchronous layouts (layout thrashing) visible in Browser Audit Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget,Critical,Yes,No,Requires Performance flame chart; not fully automatable headless,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No excessive repaints on scroll or CSS transitions; verify via Browser Audit Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,No,Requires DevTools Rendering panel,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Browser Audit Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC,High,Yes,No,Requires Memory heap snapshot,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Browser Audit Console; unused preloads waste bandwidth and block the load event,High,Yes,Yes,0 preloads; 0 unused warnings,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing,High,Yes,Yes,Font-display audit 100,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,FCP (First Contentful Paint) < 1.8s and Speed Index < 3.4s on mobile throttled network; verify via Browser Audit Lighthouse panel or Performance panel timing markers; FCP marker visible in Network waterfall as vertical line,High,Yes,No,"Mobile FCP 2069ms, Speed Index 2635ms",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,No duplicate network requests for the same resource during page load; verify via Browser Audit Network panel sorted by Name column; duplicate URL entries indicate missing request deduplication or redundant script imports,High,Yes,No,1 duplicate URL(s),https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Network,WebSocket,Browser Audit,WebSocket connections (if used) use encrypted wss:// protocol only; no unencrypted ws:// connections visible in Browser Audit Network panel WS filter; sensitive data must not transit over unencrypted WebSocket channels,High,Yes,Yes,No WebSocket connections on homepage,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Network,Origins,Browser Audit,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Browser Audit Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,Yes,0 CSP console messages,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
