Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,Multiple inline style usages found: brightcove-video sets backgroundColor dynamically (line 347); press-releases uses style.transform/transition/userSelect for slider animation; find-an-injector sets borderColor inline (line 490). Carousel sets CSS custom properties via style.setProperty (acceptable pattern). Most display toggling should use CSS classes.,"blocks/brightcove-video/brightcove-video.js:347, blocks/press-releases/press-releases.js:130-211, blocks/eds-form/find-an-injector.js:490"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,No,"Most interactive elements have accessible names (aria-label, textContent, or innerHTML with text). Issues: (1) tag-utility-nav clearBtn has no aria-label or text content (line 99-117); (2) cards/cards.js play buttons, accordion expand buttons all have aria-labels. clearBtn is icon-only with no accessible name.",blocks/tag-utility-nav/tag-utility-nav.js:99-117 (clearBtn missing aria-label)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Yes,"Blocks consistently handle alt text: custom-image supports imageIsDecorative flag (empty alt), carousel/hero-container fall back to title/textContent when alt missing, story-card/quote/brightcove-video all set meaningful alt text. fact-card correctly sets empty alt for decorative images.","blocks/custom-image/custom-image.js:150, blocks/carousel/carousel.js:496, blocks/hero/hero.js:60-73"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,Yes,"No hardcoded generic alt values (image/photo/icon/banner) found in JS. Alt text is sourced from authored content (cfg.posterAlt, data.ctaAltText, config.placeholderAlt, video.name, link title/textContent). No filename-as-alt patterns detected. Quality depends on author input, but the code infrastructure is correct.","blocks/ (all alt values sourced from authored data, not hardcoded generic strings)"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,Yes,"table/table.js correctly creates thead and tbody, places header row (th with scope='column') in thead and data rows in tbody.",blocks/table/table.js:15-34
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,Yes,"table/table.js uses createElement('th') for the first row when header=true, and adds scope='column'. All other rows use td.",blocks/table/table.js:23-25
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,Yes,"Blocks use ul/ol/li correctly: cards uses ul+li for card grid, carousel uses ul for slides and ol for pagination indicators, search uses ul for results, linklist/story-cards use ul+li. li elements are always children of ul/ol.","blocks/cards/cards.js:152-154, blocks/carousel/carousel.js:755-800, blocks/search/search.js:214"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Yes,"In AEM EDS, the page title is derived from the authored document title (Google Docs/SharePoint) and injected by the platform into <title> automatically. head.html contains no static title tag, which is correct EDS pattern. No default/generic titles are hardcoded in the codebase.","head.html (no hardcoded title), scripts/aem.js (platform handles title injection)"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,Yes,"head.html contains: &lt;meta name=""viewport"" content=""width=device-width, initial-scale=1""/&gt; — correct standard viewport configuration.",head.html:1
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,No,"brightcove-video.js assigns static IDs 'primaryVideoTitle' and 'primaryVideoDesc' (lines 944, 948). If multiple brightcove-video blocks exist on a page, duplicate IDs will result. carousel uses carouselId-based IDs (safe). Form blocks use generateId/generateFieldId functions (safe). header uses metadata-driven ID (potentially safe but single instance assumed).",blocks/brightcove-video/brightcove-video.js:944-948
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,No invalid HTML nesting,Critical,Yes,No,header.js:658 appends an &lt;a&gt; element inside a &lt;button&gt; (interactive content inside interactive content — invalid HTML per spec). This is a language-links special case but still invalid nesting. embed.js:186 sets innerHTML with button inside div (valid). No other major nesting violations found.,blocks/header/header.js:658 (a nested inside button)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,HTML validates without errors,Critical,Yes,No,"Known issues: (1) header.js:658 nests &lt;a&gt; inside &lt;button&gt; (invalid HTML); (2) 404.html uses deprecated type=""text/javascript"" attribute on script tag (unnecessary but minor). HTML structure is generally valid across blocks. No validator was run against live pages — static code analysis only.","blocks/header/header.js:658, 404.html:6"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA roles do not duplicate native semantics,High,Yes,No,"Multiple issues: (1) footer.js:34 sets role='button' on an &lt;a&gt; — native anchor role is 'link', role='button' override is redundant since href is also removed; should use a &lt;button&gt; instead. (2) story-card.js:892, teaser.js:42/72, fact-card.js:79/187, pipeline-utility-nav.js:362 set role='heading' on non-heading elements without aria-level — missing required aria-level attribute. (3) linklist.js:1252 sets role='button' on &lt;a&gt; — same pattern as footer.","blocks/footer/footer.js:34, blocks/story-card/story-card.js:892, blocks/linklist/linklist.js:1252"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,Avoid misuse of ARIA roles,High,Yes,Yes,"All role='heading' usages are accompanied by aria-level (story-card:893, teaser:43/73, brightcove-podcast-player:277, fact-card:80/188, pipeline-utility-nav:363). role='switch' on toggle input (eds-form) is valid. role='tablist'/'tab'/'tabpanel' in tabs.js is correct. role='region' with aria-label is valid. No misused roles found.","blocks/story-card/story-card.js:892-893, blocks/teaser/teaser.js:42-43"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA used only when necessary,Medium,No,Yes,"ARIA usage appears purposeful: aria-expanded for dropdowns/nav, aria-controls for relationships, aria-labelledby for regions, aria-roledescription for carousel. eds-form uses aria-checked for role='switch' toggle which is required by the switch role spec. No redundant aria-label on elements already labeled by visible text detected.","blocks/eds-form/eds-form.js:267-271, blocks/carousel/carousel.js:749"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta tags do not block zoom,Medium,No,Yes,"No user-scalable=no, maximum-scale, or minimum-scale found in any HTML or JS file. head.html viewport only sets width=device-width, initial-scale=1.",head.html:1
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Links,Code Audit,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,No,linkinator is available but cannot be run against a live site in static code audit mode. Static analysis shows no broken internal links in HTML files (only fixtures and 404.html with / home link). Full broken-link check requires a running server. Recommend running: npx linkinator https://[site-domain] --recurse after deploy.,Static code only — no live server available for linkinator scan
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for all colors,Critical,Yes,No,"17 hardcoded color values found not using CSS custom properties: eds-form.css uses #333, embed-form.css uses #666. Multiple blocks (video, accordion, embed, modal, hero) use hardcoded rgb() values for overlays/opacity variants. brightcove-podcast-player defines local custom properties with raw rgb() values. These should reference design tokens from tokens.css.","blocks/eds-form/eds-form.css:1112, blocks/embed-form/embed-form.css:18, blocks/video/video.css:290-308, blocks/modal/modal.css:12"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for spacing scale,High,Yes,No,"25+ instances of hardcoded spacing values not using CSS tokens: modal.css uses 24px/32px padding, cards.css uses 1.2rem/3.2rem, form.css uses 24px gap, header.css uses 17.6rem local variable. Most blocks use raw px/rem/em values instead of --spacing-* tokens from tokens.css.","blocks/modal/modal.css:31, blocks/cards/cards.css:151, blocks/form/form.css:30, blocks/header/header.css:4"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for typography scale,High,Yes,No,23 instances of hardcoded font-size/line-height/font-weight values not using CSS tokens. eds-form.css:1115 uses font-size:13px directly. Multiple blocks use raw numeric values instead of --font-size-* or --line-height-* tokens from tokens.css.,blocks/eds-form/eds-form.css:1115 (font-size: 13px hardcoded)
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded hex/rgb color values,Critical,Yes,No,"17 hardcoded hex/rgb color values found (same as row 27). Key offenders: eds-form.css:#333, embed-form.css:#666, modal.css:rgb(19 19 19/75%), video.css multiple rgb() values, header.css:hsl(), brightcove-video.css:rgb(0 0 0/40%).","blocks/eds-form/eds-form.css:1112, blocks/modal/modal.css:12, blocks/header/header.css:604"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded pixel spacing where tokens exist,High,Yes,No,"25+ hardcoded pixel/rem spacing values found (same finding as row 28). Multiple blocks use raw px values (24px, 32px, 17.6rem) for margins/padding instead of spacing tokens from tokens.css.","blocks/modal/modal.css:31, blocks/cards/cards.css:151, blocks/header/header.css:4"
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Consistent naming conventions,High,Yes,No,Block folder/file names consistently use kebab-case. CSS class names mostly follow kebab-case block-name prefixing. Inconsistency found: quote.css mixes underscore separators (.quote_text-author-wrapper) with kebab-case; cta.css references .list__item (BEM double-underscore); press-releases.css uses third-party Splide class names (.splide__arrow--). JS variable naming is generally camelCase and consistent.,"blocks/quote/quote.css:594 (underscore naming), blocks/cta/cta.css:336 (BEM double-underscore)"
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,No,"Color names used as class identifiers: hero-container.css uses .purple as a theme variant class (lines 76, 127, 164); hero.css uses .purple-overlap. Also .dark and .navy are used as Section Metadata style classes. While these are intentional theme modifiers in EDS Section Metadata pattern, using colour names as class identifiers is flagged. No purely positional names (col-N, left-N) found.","blocks/hero-container/hero-container.css:76, blocks/hero/hero.css:371"
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,Yes,"Each block has its own CSS file co-located in the block folder. Global styles (styles.css, section.css) contain only structural/layout rules for block wrappers (header .header, footer .footer visibility). Brand-specific overrides are in styles/rinvoq/blocks/ co-located per block. No scattered duplicate block selectors found.","blocks/[block]/[block].css pattern maintained, styles/rinvoq/blocks/ for brand overrides"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Layout,Code Audit,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,No,"eds-form.css uses float:left (lines 57, 62, 133, 191, 245, 296) and float:right (line 312) for layout, and display:table (line 588) for non-tabular content — both are legacy patterns. Flex/grid are used extensively (232 instances). Absolute positioning: 81 instances vs 232 flex/grid, giving ~26% ratio which exceeds the 5% guideline for layout containers.","blocks/eds-form/eds-form.css:57-312 (float layout), blocks/eds-form/eds-form.css:588 (display:table)"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,Yes,"179 media queries across blocks, all using custom media tokens --bp-tablet (min-width: 744px) and --bp-desktop (min-width: 1024px) defined in tokens.css. Zero max-width queries found. Fully mobile-first approach with min-width breakpoints only.","styles/tokens.css:15-16 (--bp-tablet, --bp-desktop as min-width), blocks/carousel/carousel.css:226 (example usage)"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Standard breakpoints only,High,Yes,No,"Non-standard breakpoints found: tabs.css, form.css, table.css use 600px and 900px (not in tokens.css); stock-ticker.css uses a range query (744px <= width <= 1279px); modal.css uses 900px; cards.css uses max-width direction (width < 744px). Standard tokens define only 744px and 1024px. Multiple blocks bypass the token system with custom breakpoints.","blocks/tabs/tabs.css:14 (600px), blocks/stock-ticker/stock-ticker.css:171 (range query), blocks/modal/modal.css:36 (900px)"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Responsive images by default,High,Yes,Yes,"createOptimizedPicture() from aem.js is used across blocks (cards, carousel, search, brightcove-podcast-player, story-cards) to generate responsive picture elements with srcset. EDS platform serves images through the media delivery pipeline with automatic format conversion and responsive sizing.","blocks/cards/cards.js:196, blocks/carousel/carousel.js:503, blocks/search/search.js:94"
Development,Code Quality & Standards,Layout & Responsiveness,Layering,Code Audit,Avoid z-index escalation,Medium,No,Yes,"z-index values are mostly 0-20 range. One outlier: eds-form.css:408 uses z-index:100 (likely for modal map overlay). No runaway escalation (999, 9999) detected. Values appear purposeful and scoped within their stacking contexts.","blocks/eds-form/eds-form.css:408 (highest at 100, acceptable for form overlay)"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid expensive box-shadows,Medium,No,Yes,Only 5 box-shadow usages found. All are simple single-layer shadows (0 0 blur or 0 offset blur) — no stacked multi-layer shadows or large spread values that would be expensive. No blur values > 20px detected.,"blocks/eds-form/eds-form.css:138, blocks/pipeline-utility-nav/pipeline-utility-nav.css:219"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid heavy CSS filters,Medium,No,Yes,"Only 2 filter usages: both are backdrop-filter:blur() with small values (var(--corp-spacing-2) and 5px). No heavy multi-function filters (brightness+contrast+blur combos), no filter:drop-shadow on large elements. Low performance impact expected.","blocks/video/video.css:301, blocks/header/header.css:603"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,Yes,"2 infinite animations found: both are the 'spin' loader animation in eds-form.css (lines 424, 553) applied to .abbv-animation-loading and .loading classes — these are loading spinners shown only during async operations, which is acceptable. No infinite animations on content elements found. No animation durations over 1s detected outside the spin loader.",blocks/eds-form/eds-form.css:418-424 (spin on .loading-overlay only)
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,No,":has() pseudo-class used extensively in cards.css, story-card.css, embed.css. :has() requires Chrome 105+, Safari 15.4+, Firefox 121+ — Safari 15.4+ has ~95% global coverage but some enterprise users may be on older versions. No browserslist config found. @custom-media is used for breakpoints (PostCSS transform required). No fallbacks provided for :has() usage.","blocks/cards/cards.css:21 (:has() without fallback), blocks/story-card/story-card.css:397, no .browserslistrc"
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,Avoid vendor prefixes unless required,Medium,No,Yes,"Zero vendor-prefixed CSS properties found across all block and style CSS files. No -webkit-, -moz-, -ms-, or -o- prefixes used.",blocks/ and styles/ (0 vendor prefix occurrences)
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No duplicated CSS rules,High,Yes,No,"Duplicate CSS rule selectors found in brightcove-video.css (5 duplicates including .bcvideo-overlay-content, .bcvideo-primary-title), header.css (5 duplicates including .mega-menu-card variants), and eds-form.css (5 duplicates including .submit-wrapper, .eds-form form). These duplicates may be across media query blocks but indicate CSS maintenance issues.","blocks/brightcove-video/brightcove-video.css, blocks/header/header.css, blocks/eds-form/eds-form.css (duplicate selectors found)"
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No unused CSS selectors,High,Yes,No,"Cannot run PurgeCSS without full page HTML content (requires live pages). Static analysis shows large CSS files (brightcove-video.css, header.css, eds-form.css) with many selectors that are difficult to verify without runtime. Duplicate selectors noted in row 45 suggest CSS was written incrementally without cleanup. No automated unused CSS check is configured in the project build pipeline.","No purgecss config found, no stylelint unused-selector rules configured in project"
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,Consistent property ordering,Medium,No,No,stylelint config uses stylelint-config-standard (which enforces property order) but does NOT include stylelint-order plugin or order/properties-order rule. No property ordering enforcement is in place. stylelint-config-standard enforces many style rules but property ordering is not configured.,.stylelintrc.json (no order rule configured)
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No blocking scripts in head,Critical,Yes,Yes,"head.html scripts (aem.js, scripts.js) both use type=""module"" which is inherently deferred — no render blocking. 404.html has a plain type=""text/javascript"" inline script (line 6) but it only sets window globals; minimal blocking impact. No external blocking script tags in head.","head.html:3-4 (type=""module""), 404.html:6 (inline script, low impact)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Use async or defer appropriately,High,Yes,Yes,"All scripts in head.html use type=""module"" which provides implicit defer behaviour. Dynamically imported blocks are loaded on-demand via EDS loadBlock() pattern. No async/defer misuse detected.",head.html:3-4
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Third-party scripts lazy loaded,High,Yes,Yes,Brightcove Player SDK is loaded on-demand via loadBrightcoveScript() (brightcove-video.js:230) — script is injected only when the block decorates. EDS loads all blocks lazily via loadBlock(). No third-party scripts found in head.html. No analytics/tag manager scripts hardcoded in the codebase.,blocks/brightcove-video/brightcove-video.js:230-243
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,Yes,"EDS architecture loads blocks on-demand via dynamic import in loadBlock(). scripts.js uses dynamic import() for modal (line 226) and delayed.js (line 497, 3s delayed). No monolithic bundle loading all blocks upfront. Block JS is only loaded when the block is present on the page.","scripts/scripts.js:226 (dynamic import for modal), scripts/scripts.js:497 (delayed import)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No marketing tags in head,Medium,No,Yes,"No marketing tags (GTM, GA, Facebook Pixel, Hotjar, etc.) found in head.html or scripts.js. Tag management is expected to be handled via OneTrust/consent layer separately.","head.html, scripts/scripts.js (no marketing tag references)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,No,"16 fetchPlaceholders usages found (good). However, multiple hardcoded user-facing strings >3 words exist: pipeline-utility-nav.js hardcodes 'Pipeline', 'Search Pipeline', 'SORT BY', 'Focus Area', 'FILTER', 'Clear All'; brightcove-video.js hardcodes 'Loading transcript…' and 'Transcript could not be loaded.'; tag-utility-nav.js hardcodes 'No results found' and 'Change your search criteria.'; header.js hardcodes 'Quick Links'. These should use placeholders for i18n support.","blocks/pipeline-utility-nav/pipeline-utility-nav.js:181-327, blocks/tag-utility-nav/tag-utility-nav.js:135-141, blocks/brightcove-video/brightcove-video.js:525"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,No binaries stored in repository,Medium,No,Yes,"Repository contains only expected binary assets: favicon.ico, font files (woff2, ttf for brand fonts Roboto and F37Lineca, icon font). No images, PDFs, ZIPs, or other unexpected binaries in the repo. Font files in /fonts/ are standard and necessary for the EDS self-hosted font strategy.","fonts/ directory (woff2/ttf font files only), favicon.ico"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,No,"All errors use new Error() (no raw string throws — good). However, no consistent error message pattern across blocks: stock-ticker uses [StockTicker] prefix, brightcove-video uses plain strings, eds-form uses HTTP status codes, news-feed uses 'Request failed with status'. No shared error constants or error class hierarchy. Messages are inconsistent in format and level of detail.","blocks/stock-ticker/stock-ticker.js:157 ([prefix] pattern), blocks/brightcove-video/brightcove-video.js:261 (no prefix), blocks/news-feed/news-feed.js:17"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid tight DOM coupling,High,Yes,No,"43 global document.querySelector/getElementById calls found. Most blocks correctly scope to block element. However, eds-form/find-an-injector.js and maps.js make multiple global document.querySelector calls (lines 21, 36, 44, 53, 54, 55, 64, 203, 218) — coupling across component boundaries. These should use scoped block element instead of document-wide queries.","blocks/eds-form/find-an-injector.js:21-218 (global document queries), blocks/eds-form/maps.js:45-203"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid forced synchronous layouts,Critical,Yes,Yes,"Layout reads (getBoundingClientRect, offsetWidth, scrollTop) are present in carousel.js, press-releases.js, linklist.js, modal.js. These are used in scroll/resize event handlers and one-time measurements during block setup, not interleaved with writes in tight loops. press-releases caches slideWidth (line 119). No clear read-write-read-write layout thrashing patterns detected in code structure.","blocks/carousel/carousel.js:222-274, blocks/press-releases/press-releases.js:119 (cached)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,No,"find-an-injector.js has 3 setTimeout calls (lines 434, 466, 567) with no corresponding clearTimeout — potential timer leak. eds-form/maps.js setInterval cleared properly. carousel setInterval cleared properly. No timeouts <100ms found. find-an-injector.js has 3 timers (at threshold) but none are cleared. modal.js setTimeout has no clear call. editorial-feed and header debounce patterns correctly use clearTimeout before setTimeout.","blocks/eds-form/find-an-injector.js:434-567 (3 uncleaned setTimeouts), blocks/modal/modal.js:85"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,No,"maps.js and recaptcha.js both use setInterval at 100ms (below 1s threshold) to poll for window.google.maps and window.grecaptcha readiness — both are DOM/global state checks that should use script.onload callback or a Promise-based pattern instead. Both clear the interval when resolved, but the polling approach and 100ms interval are flagged.","blocks/eds-form/maps.js:12 (100ms poll for Google Maps), blocks/eds-form/recaptcha.js:9 (100ms poll for reCAPTCHA)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Prefer native browser APIs,High,Yes,Yes,"No jQuery, lodash, or utility library imports found. All imports are from local scripts/ modules (aem.js, scripts.js, placeholders.js). Blocks use native browser APIs: fetch, IntersectionObserver, MutationObserver, native DOM methods, ES6 modules. No external utility dependencies detected.",blocks/scripts/* — no third-party utility libs)
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Code Audit,Modern ES6+ syntax used,Medium,Yes,Yes,"Zero var declarations found — all code uses const/let. 763 arrow functions and async/await usages. ES6 modules (import/export) used throughout. 35 .then/.catch usages are acceptable (mixed with async/await for compatibility). Destructuring, template literals, spread operators are used consistently.","blocks/ (0 var declarations, 763 ES6+ syntax usages)"
