Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,No,"Performance trace (reload, no CPU/network throttle): LCP ~316ms and CLS 0.00 meet thresholds; INP not measured because no interaction sequence was recorded.",https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,No,Third-party insight: Google Tag Manager alone consumed ~118ms main-thread time during load—likely includes >50ms tasks; TBT/Lighthouse TBT not exported.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,Time to First Byte (TTFB) < 800ms measured in Browser Audit Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,Yes,Performance trace LCP breakdown shows TTFB ~1ms on lab reload (CDN); well under 800ms budget. DNS/TLS not excessive in waterfall snapshot.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Browser Audit Lighthouse panel; no critical findings blocking either category,High,Yes,No,Lighthouse navigation (desktop): Best Practices 96 (passes) but SEO 61 (<90). robots noindex and other SEO audits likely contributing.,.ui-audit/lh-nav-desktop/report.json
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Browser Audit Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,No,Third-party insight reported ~1.3MB Google Tag Manager transfer alone; total transferred bytes exceed 1MB initial-load budget despite same-origin Resource Timing under-reporting.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Text resources (HTML/CSS/JS) served with gzip or Brotli compression; verify via Content-Encoding response header in Browser Audit Network panel Headers tab for each critical resource,High,Yes,Yes,"HEAD checks on HTML (earlier), CSS, and JS show Content-Encoding: gzip for critical text resources on origin.",https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,All images within size budget; no uncompressed PNG served where WebP/AVIF is available; image display dimensions match intrinsic dimensions (no oversized images scaled via CSS); verify in Browser Audit Network panel and Lighthouse image audit,High,Yes,No,Network shows large PNG/WebP pairs for product imagery; TUF thumbnail still fetched as PNG alongside WebP for other SKUs—likely oversized vs display without Lighthouse image sizing proof.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Caching / CDN Validation,Performance - Asset & Delivery,Network,Browser Audit,Resources served over HTTP/2 or HTTP/3 protocol; verify via Protocol column in Browser Audit Network panel (right-click column headers to enable Protocol column),Medium,No,Yes,"Resource Timing nextHopProtocol distribution: majority h2, some h3, no http/1.1 observed for measured resources.",https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Lighthouse / PSI Validation,Performance - Asset & Delivery,Coverage,Browser Audit,JavaScript and CSS coverage on critical pages shows < 50% unused bytes on initial load; verify via Browser Audit Coverage panel (Ctrl+Shift+P > Show Coverage); flag unused bytes for lazy loading or removal,Medium,No,No,Coverage panel data not available through Chrome DevTools MCP; unused byte percentage not measured.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Browser Audit Network panel Response Headers for the main document request,Critical,Yes,No,Main document CSP includes script-src 'unsafe-inline' and style-src 'unsafe-inline' without nonces on inline blocks observed in HTML.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,X-Content-Type-Options: nosniff present on all responses; X-Frame-Options or CSP frame-ancestors set to prevent clickjacking; Referrer-Policy header configured to restrict referrer leakage; verify all security headers in Browser Audit Network panel,High,Yes,Yes,"Main document response headers include x-content-type-options:nosniff, x-frame-options:SAMEORIGIN, CSP frame-ancestors 'none', referrer-policy:strict-origin-when-cross-origin.",https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,Zero JavaScript errors or unhandled promise rejections in Browser Audit Console panel on page load and during core user interactions; no CORS policy errors; console filter set to Errors level during production audit,Critical,Yes,No,Console shows three errors from failed fetchHotProducts (HTTP 404) and downstream hot products load failure.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,No deprecated browser API usage warnings or browser compatibility warnings visible in Browser Audit Console panel on production URL; Verbose level checked for hidden debug output,Medium,No,Yes,"Console verbose/issue scan shows no deprecated API warnings; only Issues tab notes (CSP eval restriction, unlabeled form control) unrelated to deprecated browser APIs.",https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Network,Mixed Content,Browser Audit,No mixed content warnings in Browser Audit Security panel; all sub-resources (scripts/styles/images/fonts/iframes) loaded over HTTPS; Security panel reports 'This page is secure (valid HTTPS)',Critical,Yes,Yes,No http:// subresources observed in Resource Timing; page served over HTTPS with HTTPS/CDN assets.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Network,Certificate,Browser Audit,TLS certificate valid and not expired; certificate chain complete and trusted by browser; verify in Browser Audit Security panel Certificate section; no certificate warnings on page load,Critical,Yes,Yes,Page loaded in Chrome without certificate interstitials; TLS chain accepted by browser (Security panel not directly readable via MCP).,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,No sensitive data (auth tokens; PII; credentials; session secrets) visible in Browser Audit Application panel under Local Storage; Session Storage; IndexedDB; or Cookies; HttpOnly and Secure flags set on authentication cookies,Critical,Yes,No,SessionStorage exposes `cto_token_us` key (token-like client-side storage); cannot verify HttpOnly/Secure flags on cookies from JavaScript surface.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,Cookies used for session management have SameSite attribute set to Strict or Lax; Secure flag enforced on all auth cookies; no unencrypted sensitive values in cookie payloads; verify in Browser Audit Application > Storage > Cookies,High,Yes,No,Cookie SameSite/Secure attributes not inspectable via available DevTools MCP tools (Application > Cookies UI not exported).,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Browser Audit,Page layout tested at standard breakpoints using Browser Audit Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,No,"Chrome MCP viewport could not be reduced below ~500px width; true 320/375 breakpoint checks blocked. At smallest achieved width, no horizontal overflow (scrollWidth<=clientWidth).",https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,CLS (Cumulative Layout Shift) < 0.1 verified in Browser Audit Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,Yes,Performance trace (navigation reload) reported CLS 0.00; no layout-shift spikes observed in summary.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,No render-blocking resources identified in Browser Audit Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,No,Performance insight 'RenderBlocking' flagged; multiple render-blocking stylesheets and third-party tags load early in waterfall.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Browser Audit,No console.log or developer debug output active on production build; Browser Audit Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,No,"Console log message present: ""Attempting to fetch from: ...gameList.json"" indicating debug-style logging on stage.",https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No 'Violation' messages (handler took Xms; forced reflow while executing) in Browser Audit Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes,High,Yes,Yes,"After scroll interaction, console contains no Chrome '[Violation]' forced reflow / long handler messages (only existing fetch log and errors).",https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No forced synchronous layouts (layout thrashing) visible in Browser Audit Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget,Critical,Yes,No,Performance trace summary does not expose detailed main-thread flame classification to rule out forced synchronous layouts inside JS stacks.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No excessive repaints on scroll or CSS transitions; verify via Browser Audit Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,No,Rendering > Paint flashing not accessible via Chrome DevTools MCP; repaint behavior on scroll not instrumented.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Browser Audit Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC,High,Yes,No,Heap snapshot/detached DOM filtering not performed or parsed via MCP (would require manual Memory panel analysis).,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Browser Audit Console; unused preloads waste bandwidth and block the load event,High,Yes,Yes,"No <link rel=""preload""> elements in document; therefore no unused-preload console warnings observed.",https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing,High,Yes,Yes,"fonts.css @font-face rules include font-display: swap for Roboto and TTNormsPro, mitigating FOIT.",https://stage-custom-pc.asus.com/styles/fonts.css
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,FCP (First Contentful Paint) < 1.8s and Speed Index < 3.4s on mobile throttled network; verify via Browser Audit Lighthouse panel or Performance panel timing markers; FCP marker visible in Network waterfall as vertical line,High,Yes,No,"Performance trace after mobile viewport + Slow 4G emulation still shows ""Network throttling: none"" and omits FCP/Speed Index metrics; cannot confirm <1.8s FCP and <3.4s Speed Index on throttled mobile.",https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,No duplicate network requests for the same resource during page load; verify via Browser Audit Network panel sorted by Name column; duplicate URL entries indicate missing request deduplication or redundant script imports,High,Yes,No,Network log shows paired requests for identical media IDs at multiple widths (e.g. media_1f1d85… loaded with width=750 and again with width=2000) during single page load—duplicate decoding of same creative.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Network,WebSocket,Browser Audit,WebSocket connections (if used) use encrypted wss:// protocol only; no unencrypted ws:// connections visible in Browser Audit Network panel WS filter; sensitive data must not transit over unencrypted WebSocket channels,High,Yes,Yes,No WebSocket connections recorded in Network panel WS filter; therefore no ws:// usage.,https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Network,Origins,Browser Audit,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Browser Audit Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,Yes,"Console shows no ""Refused to load"" CSP violation messages; third-party requests align with declared script-src/connect-src allowlists.",https://stage-custom-pc.asus.com/us/gaming-dt
