Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded pixel spacing where tokens exist,High,Yes,No,"Spacing tokens exist in styles/styles.css, but blocks still use arbitrary pixel and rem values (e.g. padding: 44px 0, gap: 2px, gap: 1.5rem) alongside some var(--spacing-*) usage, so hardcoded spacing remains common.",blocks/product-comparison/product-comparison.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Consistent naming conventions,High,Yes,Yes,"Block and global CSS largely follow consistent kebab-case class names and AEM-style cmp-* / BEM __ element naming (e.g. .cmp-header, .cmp-navigation__group). No camelCase class selectors found in sampled block CSS.",blocks/header/header.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,Yes,"Selectors reviewed use semantic/component names (cmp-*, columns, error-404) and BEM-style elements; no classes embedding hex literals or purely positional names like col2/left1 found in sampled CSS/HTML.",blocks/header/header.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,No,"Header component selectors for .cmp-header and descendants appear in both blocks/header/header.css and a large duplicated section in styles/site.css (and aem-header.css), so the same component styling is not confined to a single block file.",styles/site.css
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Layout,Code Audit,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,No,"Block CSS heavily uses flex/grid (many matches in blocks), but vendor styles/clientlib-base.css still contains numerous float:left rules and at least one display:table, so the repo does not fully avoid legacy float/table layout patterns.",styles/clientlib-base.css
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,No,"Repository-wide @media usage is dominated by max-width queries (229 occurrences) versus min-width/range min queries (35 + 12), indicating a max-width / desktop-down pattern rather than min-width-first mobile base styles.",styles/styles.css
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Standard breakpoints only,High,Yes,No,"CSS uses many arbitrary pixel breakpoints (e.g. 680px, 688px, 730px, 820px, 925px, 1032px, 1117px) alongside common sizes like 768px and 1024px, so breakpoints are not limited to a small standard set.",blocks/product-comparison/product-comparison.css
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Responsive images by default,High,Yes,No,"Global img rule sets max-width:100% and height:auto (styles/styles.css). Many blocks add loading=""lazy"", but dynamically rendered product/marketing images typically use a single src URL without srcset/sizes (e.g. product-card), so art-direction/DPR-responsive sources are not enforced by default in code.",blocks/product-card/product-card.js
Development,Code Quality & Standards,Layout & Responsiveness,Layering,Code Audit,Avoid z-index escalation,Medium,No,No,"Stylesheets include extremely large z-index values (e.g. 9999999) alongside many intermediate layers (99999, 10000, 1000), indicating z-index escalation rather than a small controlled stacking scale.",blocks/product-comparison/product-comparison.css
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid expensive box-shadows,Medium,No,Yes,box-shadow usage is moderate in count and typically single-layer soft elevations (e.g. 4–24px blur). No evidence of widespread multi-layer or very large blur spreads that would be classically expensive.,blocks/header/header.css
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid heavy CSS filters,Medium,No,No,"Several components apply large blur filters (e.g. blur(32px) on cards/headers) and styles/styles.css includes blur(150px) filters, which are expensive for paint/compositing compared to light UI effects.",styles/styles.css
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,No,styles/styles.css defines non-loading infinite animations (e.g. rotateGradient 20s linear infinite) in addition to loader/spinner animations. Decorative infinite motion violates the checklist and some cycles exceed 1s.,styles/styles.css
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,No,"No repo artifacts show systematic cross-checking against caniuse data. CSS relies on relatively modern features such as :has() across many blocks without accompanying @supports fallbacks in the sampled files, so compatibility assurance is not demonstrated in code.",blocks/header/header.css
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,Avoid vendor prefixes unless required,Medium,No,No,"Several stylesheets still include legacy -webkit-box / -webkit-inline-box flexbox prefixes alongside standard display:flex, which is typically unnecessary for current evergreen targets and adds noise.",blocks/header/header.css
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No duplicated CSS rules,High,Yes,No,"Large portions of component CSS are duplicated between block files and aggregated styles (e.g. .cmp-header rules appear in both blocks/header/header.css and styles/site.css with overlapping selectors), indicating duplicated rules rather than a single source of truth.",styles/site.css
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No unused CSS selectors,High,Yes,No,"No automated unused-CSS verification is present in-repo from this audit pass; large compiled bundles (styles/site.css) and a dated parallel stylesheet (styles-old__28-Nov.css) increase likelihood of unused selectors, but static usage was not exhaustively proven.",styles/styles-old__28-Nov.css
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,Consistent property ordering,Medium,No,No,"No stylelint plugin configuration for declaration ordering (e.g. stylelint-order) is present in the repo, and CSS blocks commonly interleave legacy prefixed properties with unprefixed ones in non-uniform ways.",package.json
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No blocking scripts in head,Critical,Yes,No,"head.html loads several classic scripts without defer/async (e.g. /scripts/dompurify.min.js, /scripts/swiper-bundle.min.js) alongside module scripts; classic scripts in head parse/execute synchronously and block HTML parsing.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Use async or defer appropriately,High,Yes,No,"Same as blocking-scripts finding: non-module scripts in head.html (dompurify.min.js, swiper-bundle.min.js) are included without async/defer attributes, so they are not loaded with non-blocking hints.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Third-party scripts lazy loaded,High,Yes,No,"GTM is injected dynamically with async in scripts/google-data-layer.js, but other third-party bundles (e.g. dompurify.min.js, swiper-bundle.min.js) are loaded directly from head.html without lazy/on-demand loading strategies.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,No,"head.html wires multiple global scripts (aem.js, scripts.js, carousel stack, configs.js, google-data-layer.js, utils.js) for all pages without route-based splitting; there is no evidence each export is tree-shaken per route.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No marketing tags in head,Medium,No,Yes,head.html does not embed marketing tag manager script URLs directly; analytics loading is handled via ES modules (e.g. google-data-layer.js) rather than inline third-party tag snippets in the head markup.,head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,No,Block JS contains many long hardcoded English UI strings and default copy in objects/templates (e.g. product-listing filter helper text) rather than indirection through i18n keys or shared string constants.,blocks/product-listing/product-listing.js
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,No binaries stored in repository,Medium,No,Yes,"Repository scan under the project tree (excluding node_modules) found no common compiled binary artifacts (.exe, .dll, .so, .dylib, .jar, .wasm); assets are web media formats.",package.json
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,No,"Codebase uses ad-hoc throw new Error('...') string literals (e.g. scripts/api-service.js, aem-header/footer) rather than a centralized error factory/constants or typed error classes, so throws are not standardized beyond plain Error messages.",scripts/api-service.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid tight DOM coupling,High,Yes,No,"Block scripts frequently assume specific DOM shapes (e.g. header.js uses deep selectors like 'div > div > div' and fixed ids/classes), tightly coupling JS to authored markup rather than abstracting behind data attributes or stable component APIs.",blocks/header/header.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid forced synchronous layouts,Critical,Yes,No,"Layout metrics (offsetHeight, getBoundingClientRect) are read in multiple blocks during interactions without clear batching via requestAnimationFrame everywhere; limited use of ResizeObserver/IntersectionObserver, so forced synchronous layout risks are not systematically mitigated in code review.",blocks/header/header.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,No,Multiple project files use short-delay timers (e.g. 0ms/50ms setTimeout) and there are many timer calls across blocks without an audited guarantee each id is cleared; vendor swiper-bundle also embeds frequent timers.,blocks/product-comparison/product-comparison.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,Yes,"No setInterval usage was found in first-party blocks/ and core scripts/*.js sources scanned; timers appear primarily as setTimeout and observers elsewhere, so DOM polling via setInterval is not present in project-authored code.",scripts/scripts.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Prefer native browser APIs,High,Yes,Yes,"First-party code uses modern ES modules, fetch/DOM APIs, and observers without jQuery/lodash-style wrappers; remaining third-party bundles (swiper, dompurify) are focused libraries rather than broad DOM polyfills.",scripts/scripts.js
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Code Audit,Modern ES6+ syntax used,Medium,Yes,Yes,"First-party sources are authored as ES modules (import/export), async/await, const/let, and template literals; legacy var usage appears only inside vendored minified bundles, not block implementations.",blocks/header/header.js
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Avoid memory leaks,Critical,Yes,No,"Blocks register many addEventListener calls while removeEventListener is rarely used in comparison, suggesting long-lived listeners without teardown patterns for dynamic blocks; leak risk cannot be ruled out.",blocks/header/header.js
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Event listeners cleaned up properly,High,Yes,No,"Consistent cleanup is not evident: removeEventListener usage is minimal compared to widespread addEventListener registrations across blocks, and few components show symmetric unsubscribe logic.",blocks/header/header.js
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Async logic uses async/await,High,Yes,Yes,"Async flows predominantly use async/await in blocks; promise-chain .then usage is rare (single match in scan), indicating modern async style for network/block initialization.",blocks/product-card/product-card.js
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Promises handled correctly,High,Yes,Yes,"Network helpers like scripts/api-service.js wrap fetch in try/catch, validate response.ok/content-type, and rethrow after logging; async block code generally awaits promises rather than ignoring rejections in reviewed samples.",scripts/api-service.js
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,Yes,No,UI state is managed imperatively in block modules (mutating objects/element properties directly) without a centralized reducer/store pattern; no evidence of a single state layer mediating all updates.,blocks/product-card/product-card.js
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,No mutation of shared state,High,Yes,No,"Blocks assign and read globals on window (e.g. window.__productPreviewData) and rely on shared window.* libraries, which constitutes cross-feature shared mutable state outside an isolated store.",blocks/product-listing/product-listing.js
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,No side effects in pure functions,High,Yes,No,"Block helpers commonly interleave computation with DOM mutations and module-level side effects; there is no project-wide convention marking pure functions or isolating side effects, so purity cannot be assured.",blocks/product-listing/product-listing.js
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,Consistent return types,Medium,No,No,"Public helpers mix return shapes (sometimes returning undefined early with bare return;, sometimes arrays/objects, sometimes JSON blobs) without uniform Result-style typing across modules.",scripts/api-service.js
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No global variables,Critical,Yes,No,"App code attaches many symbols to window (e.g. AEMHeader/AEMFooter, cart/SSO handlers, __productPreviewData, allProducts, renderProductCard). That is intentional global namespace use for AEM blocks, not an absence of globals.",blocks/header/header.js
Development,EDS Block & Fragment Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,JS scoped to component or block,High,Yes,Yes,Block JS follows EDS layout: each block under blocks/<name>/*.js uses ES module import/export and file-level scope (e.g. modal exports createModal; header/footer use imports). Cross-block APIs use explicit window hooks but core logic stays module-scoped.,blocks/modal/modal.js
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Consistent coding style,High,Yes,Yes,"Tooling enforces style: package.json defines eslint (Airbnb base, security/import plugins) and stylelint for blocks/scripts/constants; husky + lint-staged auto-fix on commit. Artifact docs/eslint-report.json confirms CI-style lint runs.",package.json
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Avoid deeply nested callbacks,High,Yes,Yes,Async flow uses await heavily across blocks/scripts (many more await than .then); quick scan found no chained .then pyramids. Callback nesting limited to normal DOM iteration patterns.,scripts/api-service.js
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,No,No,"No automated enforcement (no eslint/rule or script scanning call depth, thin wrappers, or re-export-heavy files). App source has few barrel-style re-export files; chains are typical ESM—not proven <=4 globally. Requirement is procedural, not evidenced in toolchain.",package.json
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,"All external inputs are validated, sanitized, and securely handled to prevent errors, misuse, and security vulnerabilities",Medium,Yes,No,"Sanitization is partial: product-listing uses DOMPurify; other blocks use escapeHtml in places. Many innerHTML assignments still splice API/strings without encoding (e.g. product-preview template uses game.gameTitle/imageUrl straight into innerHTML), so not all external data is uniformly validated/sanitized.",blocks/product-preview/product-preview.js
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No unreachable code,Medium,No,Yes,eslint CI report (docs/eslint-report.json) shows zero no-unreachable findings across linted files; Airbnb config includes unreachable detection. No manual dead branches spotted in spot checks.,docs/eslint-report.json
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No empty catch blocks,Medium,Yes,No,"head.html contains a catch that swallows JSON parse failures with only a comment (no logging or rethrow), which is effectively an empty error-handling block for that path.",head.html
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Code Audit,WCAG 2.1 AA compliance met,Critical,Yes,No,"No automated WCAG AA verification artifacts or test suite are present in-repo from this pass; prior findings (e.g. swallowing errors in head metadata script, complex custom components) mean full AA conformance cannot be confirmed from static review alone.",head.html
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Code Audit,Announce dynamic content changes,Medium,Yes,No,"Several blocks implement aria-live regions for specific flows (product listing announcements, compare errors, newsletter responses), but dynamic updates are not consistently announced across all interactive components.",blocks/product-listing/product-listing.js
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; keydown handler for Escape key present in source; focusable elements exist inside dialog container,High,Yes,No,"blocks/modal/modal.js sets role=dialog, aria-modal=true, and closes on Escape, but the dialog container lacks aria-labelledby or aria-label naming the dialog itself (only the close button has an aria-label).",blocks/modal/modal.js
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,<video> elements have <track kind='captions'> with valid non-empty src,Medium,Yes,No,No <track kind='captions'> markup was found in block JS templates; video elements are built without accompanying caption tracks in the searched sources.,blocks/our-advantages/our-advantages.js
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; transcript container visible (not display:none/visibility:hidden),Medium,Yes,Yes,"No <audio> elements are authored in block JavaScript sources, so transcript linkage requirements do not apply to current UI code paths.",blocks/hero-banner/hero-banner.js
Accessibility,Keyboard Navigation,Accessibility - Components & Content,Components,Code Audit,No focus-trap calls outside of modal/dialog components; no keydown handlers that programmatically restrict Tab key to a subset of elements on non-modal pages,Medium,Yes,No,"product-comparison implements custom Tab/Shift+Tab handling on non-modal hover panel content, programmatically moving focus among a subset of focusables, which goes beyond typical modal focus trapping patterns.",blocks/product-comparison/product-comparison.js
Accessibility,Keyboard Navigation,Accessibility - CSS,Focus,Code Audit,Visible focus styles present,Critical,Yes,No,"Multiple stylesheets set outline: none on interactive-looking selectors; while some components add alternative focus visuals, widespread outline removal increases risk of missing visible focus compared to a consistent :focus-visible ring.",styles/styles.css
Accessibility,WCAG 2.1 AA Compliance,Accessibility - CSS,Visual,Code Audit,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors,Medium,Yes,No,"Sampled blocks/header/header.css contains multiple :hover rules but no :focus or :focus-visible counterparts in the same file, so hover-only styling is not paired with keyboard-focus equivalents.",blocks/header/header.css
Accessibility,WCAG 2.1 AA Compliance,Accessibility - CSS,Visual,Code Audit,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,Yes,".sr-only/.visually-hidden utilities in styles/styles.css use the standard off-screen clipping pattern (absolute positioning, 1px box, overflow hidden, clip) rather than display:none for visually hidden text.",styles/styles.css
